name,status
Fairid Naparin," Wali Kota Palangka Raya"
Umi Mastikah," Wakil Wali Kota Palangka Raya"
Aries Marcorius Narang," Mantan Cawalkot Palangka Raya 2018"
Mofit Saptono Subagio," Mantan Wakil Wali Kota Palangka Raya"
Faridawaty Darland Atjeh," Anggota DPRD Kalteng"
Wahid Yusuf," Wakil Ketua I DPRD Kota Palangka Raya"
Sigit K Yunianto," Ketua DPRD Kota Palangka Raya"
Tuty Dau," Ketua DPD Partai NasDem Kota Palangka Raya"
Andrie Elia Embang," Mantan Rektor Universitas Palangka Raya"
Sahdin Hasan," Sekda Kota Palangka Raya"