id,prov,gub,wagub
1,Aceh,Achmad Marzuki(Penjabat),null
2,Sumatera Utara,Hassanudin(Penjabat),null
3,Sumatera Barat,Mahyeldi,Audy Joinaldy
4,Riau,Syamsuar,Edy Nasution
5,Jambi,Al Haris,Abdullah Sani
6,Sumatera Selatan,Agus Fatoni(Penjabat),null
7,Bengkulu,Rohidin Mersyah,Rosjonsyah
8,Lampung,Arinal Djunaidi,null
9,Kepulauan Bangka Belitung,Suganda Pandapotan Pasaribu(Penjabat),null
10,Kepulauan Riau,Ansar Ahmad,Marlin Agustina
11,Daerah Khusus Ibukota Jakarta,Heru Budi Hartono(Penjabat),null
12,Jawa Barat,Bey Machmudin(Penjabat),null
13,Jawa Tengah,Nana Sudjana(Penjabat),null
14,Daerah Istimewa Yogyakarta,Hamengkubuwana X,Paku Alam X
15,Jawa Timur,Khofifah Indar Parawansa,Emil Dardak
16,Banten,Al Muktabar(Penjabat),null
17,Bali,Sang Made Mahendra Jaya(Penjabat),null
18,Nusa Tenggara Barat,Lalu Gita Ariadi(Penjabat),null
19,Nusa Tenggara Timur,Ayodhia Kalake(Penjabat),null
20,Kalimantan Barat,Harisson Azroi(Penjabat),null
21,Kalimantan Tengah,Sugianto Sabran,Edy Pratowo
22,Kalimantan Selatan,Sahbirin Noor,Muhidin
23,Kalimantan Timur,Akmal Malik(Penjabat),null
24,Kalimantan Utara,Zainal Arifin Paliwang,Yansen Tipa Padan
25,Sulawesi Utara,Olly Dondokambey,Steven Kandouw
26,Sulawesi Tengah,Rusdy Mastura,Ma'mun Amir
27,Sulawesi Selatan,Bahtiar Baharuddin(Penjabat),null
28,Sulawesi Tenggara,Andap Budhi Revianto(Penjabat),null
29,Gorontalo,Ismail Pakaya(Penjabat),null
30,Sulawesi Barat,Zudan Arif Fakrulloh(Penjabat),null
31,Maluku,Murad Ismail,Barnabas Orno
32,Maluku Utara,Abdul Ghani Kasuba,Al Yasin Ali
33,Papua,M. Ridwan Rumasukun(Penjabat),null
34,Papua Barat,Paulus Waterpauw(Penjabat),null
35,Papua Tengah,Ribka Haluk (Penjabat),null
36,"Papua Pegunungan
",Nikolaus Kondomo (Penjabat),null
37,"Papua Selatan
",Apolo Safanpo (Penjabat),null
38,"Papua Barat Daya
",Muhammad Musa'ad(Penjabat),null