No,Provinsi,Gubernur,Wakil Gubernur,Masa Jabatan
1,Aceh,Nova Iriansyah,(lowong),5 Nov 2020 – 5 Jul 2022
2,Sumatera Utara,Edy Rahmayadi,Musa Rajekshah,5 Sep 2018 – 5 Sep 2023
3,Sumatera Barat,Mahyeldi Ansharullah,Audy Joinaldy,25 Feb 2021 -25 Feb 2024
4,Riau,Syamsuar,Edy Nasution,20 Feb 2019 – 20 Feb 2024
5,Jambi,Al Haris,Abdullah Sani,7 Jul 2021 – 7 Jul 2024
6,Sumatera Selatan,Herman Deru,Mawardi Yahya,1 Okt 2018 – 1 Okt 2023
7,Bengkulu,Rohidin Mersyah,Rosjonsyah,25 Feb 2021 – 25 Feb 2024
8,Lampung,Arinal Djunaidi,Chusnusia Chalim,12 Jun 2019 – 12 Jun 2024
9,Kepulauan Bangka Belitung,Erzaldi Rosman Djohan,Abdul Fatah,12 Mei 2017 – 12 Mei 2022
10,Kepulauan Riau,Ansar Ahmad,Marlin Agustina Rudi,25 Feb 2021 – 25 Feb 2024
11,DKI Jakarta,Anies Rasyid Baswedan,Ahmad Riza Patria,16 Okt 2017 – 16 Okt 2022
12,Jawa Barat,Ridwan Kamil,Uu Ruzhanul Ulum,5 Sep 2018 – 5 Sep 2023
13,Jawa Tengah,Ganjar Pranowo,Taj Yasin Maimoen,5 Sep 2018 – 5 Sep 2023
14,DI Yogyakarta,Hamengkubuwana X,Paku Alam X,10 Okt 2017 – 10 Okt 2022
15,Jawa Timur,Khofifah Indar Parawansa,Emil Dardak,13 Feb 2019 – 13 Feb 2024
16,Banten,Wahidin Halim,Andika Hazrumy,12 Mei 2017 – 12 Mei 2022
17,Bali,I Wayan Koster,Tjokorda Oka Artha Ardana Sukawati,5 Sep 2018 – 5 Sep 2023
18,Nusa Tenggara Barat,Zulkieflimansyah,Sitti Rohmi Djalilah,19 Sep 2018 – 19 Sep 2023
19,Nusa Tenggara Timur,Viktor Laiskodat,Josef Nae Soi,5 Sep 2018 – 5 Sep 2023
20,Kalimantan Barat,Sutarmidji,Ria Norsan,5 Sep 2018 – 5 Sep 2023
21,Kalimantan Tengah,Sugianto Sabran,Edy Pratowo,25 Mei 2021 – 25 Mei 2024
22,Kalimantan Selatan,Safrizal (pejabat),,menunggu pelantikan gubernur terpilih
23,Kalimantan Timur,Isran Noor,Hadi Mulyadi,1 Okt 2018 – 1 Okt 2023
24,Kalimantan Utara,Zainal Arifin Paliwang,Yansen Tipa Padan,15 Feb 2021 -15 Feb 2024
25,Sulawesi Utara,Olly Dondokambey,Steven O. E. Kandouw,15 Feb 2021 -15 Feb 2024
26,Sulawesi Tengah,Rusdy Mastura,Ma’mun Amir,16 Jun 2021 – 16 Jun 2024
27,Sulawesi Selatan,Andi Sudirman Sulaiman (Plt),(lowong),28 Feb 2021 – 5 Sep 2023
28,Sulawesi Tenggara,Ali Mazi,Lukman Abunawas,5 Sep 2018 – 5 Sep 2023
29,Gorontalo,Rusli Habibie,Idris Rahim,12 Mei 2017 – 12 Mei 2022
30,Sulawesi Barat,Ali Baal Masdar,Enny Anggraeny Anwar,12 Mei 2017 – 12 Mei 2022
31,Maluku,Murad Ismail,Barnabas Orno,24 Apr 2019 – 24 Apr 2024
32,Maluku Utara,Abdul Ghani Kasuba,Al Yasin Ali,10 Mei 2019 – 10 Mei 2024
33,Papua,Lukas Enembe,(lowong),5 Sep 2018 – 5 Sep 2023
34,Papua Barat,Dominggus Mandacan,Mohamad Lakotani,12 Mei 2017 – 12 Mei 2022